现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.00121054,0.00196488,-0.05,0,0,-0.000605269,0.000982438,0,0,0,-0.000339761,0.000534131,0,0,0,-0.00986046,-0.0428682,-0.05,0,0
-0.00145422,-0.000812272,-0.140001,0,0,-0.00052849,0.0011909,0,0,0,-0.000410539,-7.57437e-005,0,0,0,-0.0449446,-2.4897,-0.1,0,0
-0.00155718,-0.000343212,-0.210003,0,0,-0.000491781,0.000938731,0,0,0,-0.000441948,8.88575e-005,0,0,0,-0.097002,-4.91783,-0.15,0,0
-0.00161225,-0.000183563,-0.28,0,0,-0.0754865,-0.249223,-0.23,0,0,-0.0199178,-0.064711,-0.2,0,0,-0.161773,-7.33096,-0.2,0,0
-0.00164505,-0.000109313,-0.349949,0,0,-0.146381,-7.2254,-0.287481,0,0,-0.0383579,-1.93793,-0.25,0,0,-0.243026,-9.75604,-0.25,0,0
-0.00166568,-6.87688e-005,-0.489088,0,0,-0.270015,-9.06753,-0.402226,0,0,-0.062223,-2.41879,-0.35,0,0,-0.438109,-12.5048,-0.35,0,0
-0.00167905,-4.45687e-005,-0.558385,0,0,-0.416834,-12.4988,-0.459565,0,0,-0.0883169,-3.35789,-0.4,0,0,-0.633521,-17.2431,-0.4,0,0
-0.00168786,-2.93746e-005,-0.626932,0,0,-0.59885,-14.1608,-0.516697,0,0,-0.129285,-3.86663,-0.45,0,0,-0.876696,-19.7663,-0.45,0,0
-0.00169372,-1.95523e-005,-0.695147,0,0,-0.811351,-15.7463,-0.573759,0,0,-0.18878,-4.38054,-0.5,0,0,-1.1516,-22.2337,-0.5,0,0
-0.00169765,-1.30924e-005,-0.762794,0,0,-1.04945,-17.2663,-0.630666,0,0,-0.259709,-4.86207,-0.55,0,0,-1.46619,-24.7262,-0.55,0,0
-0.00170029,-8.79949e-006,-0.82993,0,0,-1.31267,-18.7403,-0.687454,0,0,-0.334767,-5.31385,-0.6,0,0,-1.81397,-27.1951,-0.6,0,0
-0.00170207,-5.92822e-006,-0.896499,0,0,-1.60069,-20.1708,-0.74411,0,0,-0.414838,-5.76664,-0.65,0,0,-2.191,-29.6493,-0.65,0,0
-0.00170327,-3.99998e-006,-0.962464,0,0,-1.9064,-21.5352,-0.800602,0,0,-0.501783,-6.22327,-0.7,0,0,-2.59846,-32.1061,-0.7,0,0
-0.00156624,0.000456757,-1.09619,0,0,-2.25299,-22.9445,-0.914043,0,0,-0.600546,-6.69313,-0.8,0,0,-3.06266,-34.6491,-0.8,0,0
-0.00147351,0.000309119,-1.16036,0,0,-2.61487,-25.9648,-0.970104,0,0,-0.702715,-7.60085,-0.85,0,0,-3.54953,-39.449,-0.85,0,0
-0.00141075,0.000209205,-1.22365,0,0,-2.97306,-27.1254,-1.02584,0,0,-0.808303,-8.03554,-0.9,0,0,-4.07622,-41.9319,-0.9,0,0
-0.00136827,0.000141586,-1.28622,0,0,-3.34898,-28.3532,-1.08149,0,0,-0.920944,-8.48074,-0.95,0,0,-4.62188,-44.3433,-0.95,0,0
-0.00133952,9.5823e-005,-1.34745,0,0,-3.7173,-29.4662,-1.13661,0,0,-1.04201,-8.92716,-1,0,0,-5.22208,-46.8725,-1,0,0
-0.00132007,6.48515e-005,-1.40782,0,0,-4.09115,-30.6187,-1.19155,0,0,-1.17131,-9.36903,-1.05,0,0,-5.85748,-49.3345,-1.05,0,0
-0.0013069,4.38905e-005,-1.46716,0,0,-4.47308,-31.7656,-1.24623,0,0,-1.30622,-9.79821,-1.1,0,0,-6.524,-51.7813,-1.1,0,0
-0.00129799,2.97044e-005,-1.59211,0,0,-4.85536,-32.8659,-1.35709,0,0,-1.45271,-10.2447,-1.2,0,0,-7.2511,-54.3248,-1.2,0,0
-0.00129196,2.01035e-005,-1.64838,0,0,-5.25677,-35.7643,-1.41095,0,0,-1.60356,-11.133,-1.25,0,0,-8.00586,-59.129,-1.25,0,0
-0.00128788,1.36057e-005,-1.70383,0,0,-5.63651,-36.7358,-1.46432,0,0,-1.76083,-11.5548,-1.3,0,0,-8.79908,-61.5945,-1.3,0,0
-0.00128511,9.20815e-006,-1.75729,0,0,-6.01462,-37.7928,-1.51716,0,0,-1.92562,-11.9772,-1.35,0,0,-9.63951,-64.0875,-1.35,0,0
-0.00128325,6.23193e-006,-1.80982,0,0,-6.40925,-38.8962,-1.5699,0,0,-2.09836,-12.3975,-1.4,0,0,-10.4977,-66.4801,-1.4,0,0
-0.00128198,4.21768e-006,-1.86135,0,0,-6.76961,-39.8016,-1.62195,0,0,-2.27635,-12.805,-1.45,0,0,-11.3967,-68.9486,-1.45,0,0
