现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
0.00188234,0.00245585,0.1,0,0,0.00188592,0.00471481,0.1,0,0,0.00222036,0.00430089,0.1,0,0,0,0,0,0,0
0.0061495,0.189921,0.2,0,0,0.00789802,0.194277,0.2,0,0,0.00887159,0.195264,0.2,0,0,0,0,0,0,0
0.0140576,0.37392,0.3,0,0,0.0167927,0.373192,0.3,0,0,0.0183817,0.372952,0.3,0,0,0,0,0,0,0
0.027603,0.556258,0.4,0,0,0.0305418,0.55177,0.4,0,0,0.0320484,0.548662,0.4,0,0,0,0,0,0,0
0.0417868,0.7158,0.5,0,0,0.050201,0.72412,0.5,0,0,0.0527769,0.72404,0.5,0,0,0,0,0,0,0
0.0642436,0.893262,0.6,0,0,0.0730126,0.878777,0.6,0,0,0.0773927,0.878582,0.6,0,0,0,0,0,0,0
0.0877593,1.03757,0.7,0,0,0.0981133,1.02552,0.7,0,0,0.102511,1.01756,0.7,0,0,0,0,0,0,0
0.112544,1.18048,0.8,0,0,0.124697,1.16606,0.8,0,0,0.130823,1.16235,0.8,0,0,0,0,0,0,0
0.141753,1.32895,0.9,0,0,0.153966,1.3069,0.9,0,0,0.160757,1.29737,0.9,0,0,0,0,0,0,0
0.174464,1.46704,1,0,0,0.187874,1.44772,1,0,0,0.195147,1.43651,1,0,0,0,0,0,0,0
0.212995,1.60452,1.1,0,0,0.225833,1.57859,1.1,0,0,0.232108,1.56281,1.1,0,0,0,0,0,0,0
0.252044,1.71811,1.2,0,0,0.26629,1.69818,1.2,0,0,0.271797,1.68479,1.2,0,0,0,0,0,0,0
0.291989,1.8317,1.3,0,0,0.306004,1.8051,1.3,0,0,0.312029,1.79633,1.3,0,0,0,0,0,0,0
0.331761,1.94099,1.4,0,0,0.345466,1.91461,1.4,0,0,0.352239,1.90547,1.4,0,0,0,0,0,0,0
0.373401,2.05569,1.5,0,0,0.389147,2.03575,1.5,0,0,0.396488,2.0248,1.5,0,0,0,0,0,0,0
0.420724,2.17651,1.6,0,0,0.435581,2.14553,1.6,0,0,0.442743,2.13167,1.6,0,0,0,0,0,0,0
0.468187,2.27311,1.7,0,0,0.484532,2.24968,1.7,0,0,0.490544,2.23372,1.7,0,0,0,0,0,0,0
0.516424,2.37102,1.8,0,0,0.53387,2.34391,1.8,0,0,0.541446,2.33684,1.8,0,0,0,0,0,0,0
0.5685,2.47518,1.9,0,0,0.584047,2.43856,1.9,0,0,0.591568,2.42459,1.9,0,0,0,0,0,0,0
0.620185,2.56176,2,0,0,0.639341,2.54238,2,0,0,0.647233,2.52956,2,0,0,0,0,0,0,0
0.676816,2.66239,2.1,0,0,0.694606,2.62398,2.1,0,0,0.700486,2.60454,2.1,0,0,0,0,0,0,0
0.730343,2.73386,2.2,0,0,0.749931,2.70586,2.2,0,0,0.758115,2.70087,2.2,0,0,0,0,0,0,0
0.790181,2.83455,2.3,0,0,0.807762,2.79374,2.3,0,0,0.814891,2.77616,2.3,0,0,0,0,0,0,0
0.849176,2.90581,2.4,0,0,0.868791,2.87878,2.4,0,0,0.876813,2.86798,2.4,0,0,0,0,0,0,0
0.910026,2.98536,2.5,0,0,0.930532,2.95175,2.5,0,0,0.939065,2.93838,2.5,0,0,0,0,0,0,0
